Symbol,UniProtID
SCNN1A,P37088
GEMIN7,Q9H840
APEX1,P27695
RNF144A,P50876
INSM1,Q01101
FOXL2,P58012
ERG,P11308
C4BPA,P04003
DACH1,Q9UI36
ISL1,P61371
RNF43,Q68DV7
CASP10,Q92851
SP1,P08047
SP4,Q02446
GGA1,Q9UJY5

