hsa-let-7d,miR
GTF3A,TF
TARBP2,Gene
RQCD1,Gene
CDC2,Gene
E2F4,TF
PTCH1,Gene
NEDD9,Gene
hsa-miR-223,miR
NFIA,Gene
CASP9,Gene
hsa-miR-133a,miR
PROX1,Gene
FOXA2,Gene
GSC,Gene
ONECUT1,TF
PDX1,Gene
KLF13,TF
HBG2,Gene
HBG1,Gene
YAF2,Gene
NFE4,TF
NR2F2,TF
PPUR,TF
GATA3,TF
GCM2,Gene
FOXP1,Gene
ADAR,Gene
hsa-miR-1,miR
APH1A,Gene
TFAP4,TF
HIST1H1B,Gene
HINFP,TF
hsa-miR-424,miR
CCND1,Gene
E2F3,Gene
hsa-miR-34a,miR
RNF14,Gene
RBM39,Gene
ISL1,Gene
RFX4,Gene
PIK3R3,Gene
GADD45G,Gene
TFAP2C,Gene
FGFR2,Gene
HIST1H2BJ,Gene
FBXO11,Gene
COPS7A,Gene
CABLES1,Gene
CDC14B,Gene
CD82,Gene
DKK1,Gene
DDX21,Gene
GJA1,Gene
VCAN,Gene
APOBEC3G,Gene
CDH2,Gene
TOP2A,Gene
CCL2,Gene
KLF5,Gene
SLC7A5,Gene
GAST,Gene
PTHLH,Gene
FLI1,Gene
TNC,Gene
HAS2,Gene
CXCL5,Gene
DHFRL1,Gene
SLC39A1,Gene
PDPN,Gene
SWI5,TF
PHO2,TF
TGIF2,Gene
ZEB2,Gene
ANKRD1,Gene
CYR61,Gene
RXRG,TF
NR4A2,Gene
