Gene,Exp
USP1,7.991484
DYRK1B,4.739214
LOC221091,1.369231
CSF3,2.304737
GAL3ST3,5.911405
ARMC5,3.70145
SPG7,4.21076
TBP,7.334312
ARMC6,6.414328
TAS1R2,1.9866
ZDHHC17,6.369574
TTC7A,3.766704
C9ORF78,8.616481
PRPF4B,1.173339
GFAP,2.348089
PNCK,7.539165
MON2,5.749707
UBE1DC1,2.316686
SURF5,9.515466
NT5E,4.759327
GPR56,1.852531
CNBD1,1.780915
EMILIN2,6.451037
SF3A1,6.772409
ZNF713,3.149669
ST8SIA3,4.403171
NCF1,1.649004
GNAT1,2.786411
DYNLRB2,3.192138
SPATA9,2.271768
STK23,2.443927
HOXC11,4.50728
WBSCR22,8.112841
OR4F6,2.203378
C20ORF27,7.625949
CST11,1.526931
LOC388910,1.385477
TNFRSF14,1.798298
RHBG,1.359805
RBM9,4.122324
TINF2,6.655394
CYP46A1,3.557863
PRPF4,8.962091
IL1RL1,1.501904
TXNIP,4.10896
REEP6,6.755729
OR5AY1,1.825827
SFRS6,10.193034
TM2D3,4.910778
FLJ14213,4.046178
WDFY3,3.789727
HLA-DRB5,1.913539
ACSS2,2.616592
SLC32A1,1.999529
RNF10,6.22546
SLC25A29,7.750268
CXORF53,6.009376
LPHN2,8.431166
CXORF9,2.229403
G6PD,6.726337
FBXL16,5.22622
TPM3,8.986347
ACTR6,7.802638
KIAA0494,7.177778
NHP2L1,7.721664
KCNJ4,1.686986
ADARB1,3.379525
PLA2G4B,6.583891
FLJ35894,2.014742
OGT,8.408431
BCAP29,6.465964
PLA2G6,2.765252
MGC61598,2.773424
SRRM1,9.778982
RECQL5,4.513125
FLJ42280,1.827369
ATP6AP1,9.287408
PLEKHJ1,6.988267
GLOXD1,4.97056
KRTAP12-2,1.6861
IL1F7,4.098972
MAP2K6,5.772466
CST6,4.204671
EWSR1,9.695361
EXOSC2,7.587581
PSF1,2.435056
OR51L1,1.586261
FLJ42117,3.735046
LOC648832,1.953229
TSTA3,6.853674
AGPAT1,2.347702
SYNJ2BP,7.921867
LOC388284,2.355768
NEGR1,1.768407
TSPAN11,2.232744
HLXB9,2.254159
PANX1,5.959068
HINT2,8.016929
ATP2A3,3.944222
MS4A1,1.451425
GNRH2,1.827369
CXORF38,6.250307
PLD2,5.98452
WBP4,7.213404
DGKB,2.307323
GYLTL1B,6.09867
WHSC1L1,4.78082
APOB48R,1.358793
XKRY,1.573786
OSBPL1A,2.379149
C22ORF9,2.417374
SLC35B4,6.589656
NSMCE1,7.32325
UGT1A4,1.732246
TRIM38,3.361264
PHF14,3.16244
NCK1,7.762675
TBX1,2.932129
LGMN,8.527308
DLC1,2.036682
FLJ22374,3.848756
ZNF619,1.220552
FLJ43860,2.910882
PITRM1,6.493047
C14ORF21,4.487088
DSCR8,1.316277
DNMT3A,2.476293
TCEA1,5.609543
LRRC29,2.264228
CFH,1.814338
CHD5,3.265462
TAGLN3,5.216577
LOC197336,5.736746
IFNA2,1.933831
SCML2,6.624038
AGPS,7.936854
MYO5A,6.190185
C21ORF6,4.374691
TRIM17,3.45322
C1ORF85,8.479126
FANCB,5.685538
DNAJC8,11.063911
TMEM100,3.628469
DBNL,8.556106
C14ORF29,3.240304
CPM,2.816972
LGALS14,2.234795
PLEKHB2,8.22433
AVPR2,2.074445
NIT1,4.021601
FLJ35695,1.81148
LOC387921,3.813498
NEK9,2.766383
GNB5,3.173538
NFX1,6.26748
ERN1,4.384723
NCOR2,8.468567
MGC3123,3.359106
MYST4,5.088601
PALM2,1.843519
ILF3,8.894051
SNAPC2,7.035284
RHOV,1.991495
SDHD,8.384286
MBD3,5.914466
ST8SIA6,2.650518
IDH3A,5.483718
HNF4A,2.162854
RCN1,1.746058
AACS,6.934849
KRTAP4-12,1.857528
SLC6A20,2.263772
TMEM43,8.131388
FOLR1,2.018898
COG5,5.615491
TUBG1,3.312081
LIMK1,1.632686
ODF2,3.055956
CST6,4.911099
NR1D2,5.546712
FLJ20534,7.486048
MATN2,3.173948
NID2,2.747811
NHLRC2,5.281351
SLC25A27,2.514358
FGD4,4.379362
SEC31L2,1.872619
PALLD,8.044672
USH3A,2.404851
NOD9,4.969301
PRDM13,1.375393
B3GALT5,1.550493
PYCARD,7.899286
FLJ30596,4.316713
ADCK1,6.448206
ZAK,3.896239
SLC8A2,6.673142
CHRNA2,2.339372
PTPRT,2.218121
OR5AS1,1.951478
NALP9,1.986712
CMTM7,9.593832
PWP2H,3.685686
TNFRSF11A,1.833965
BTN1A1,2.546099
ASXL2,7.896327
IQWD1,3.044067
DES,2.379315
SLC19A1,6.643808
KCNJ11,1.965611
C21ORF7,3.434537
FLJ46010,1.897112
C14ORF118,3.895225
SOAT1,4.198418
COPB,8.898967
TMEM16B,4.463617
CYP19A1,1.928771
ITK,2.059389
AFG3L1,3.116113
FALZ,2.968922
SORCS1,2.737216
KIAA1727,6.721397
FLJ45721,1.556031
C1ORF96,2.716031
RBAF600,8.183945
MSMB,2.027987
ZNF649,4.201565
ARG99,3.885115
PLEKHH1,6.095945
TNFRSF10B,8.736449
FLJ40235,1.915339
CNTN6,4.5004
ZGPAT,2.741337
LOC642944,2.943745
EPHA2,4.517514
SLC22A5,4.180921
IK,7.818458
PPP2R5D,5.523043
ANXA10,2.208791
ZNF651,2.135815
TRAF5,2.193748
MGC35361,4.043398
KCNIP4,2.335843
ST3GAL3,3.065557
KIAA1967,3.014673
RPE,7.759843
TUBB6,7.843913
PHF21A,8.447681
UBE2D2,6.165645
PHF7,1.630024
SLC8A1,2.107431
LOC138255,8.816557
PCSK7,6.978431
EFCAB1,1.529903
TPD52L2,9.336825
NRP1,5.165042
CDON,2.345392
BHLHB5,2.721965
AP2M1,8.976386
FCRL3,1.864271
MRPL12,8.744697
ASB3,6.857886
MMP25,1.431828
CCT6B,2.767883
FAM81A,2.694709
GATS,5.841602
ACIN1,8.332714
2012/03/03,6.605945
APBB1,3.231904
IL6,3.208389
CLIC6,5.390901
LYK5,1.831622
BLR1,2.215207
C14ORF147,7.184556
MAWBP,2.582159
TNFRSF21,9.640406
ARCN1,9.185861
RFC5,1.99975
DEDD,5.869477
RARB,3.175199
C2ORF3,1.946342
BAIAP2,3.898508
BTD,5.537017
FGF1,3.06361
TRAP1,8.67044
ABHD9,7.183562
PDE8A,5.342403
CBLN4,2.539174
RRAGD,7.17025
NKIRAS2,4.572058
HDLBP,2.998858
HRAS,2.687476
SP8,1.663924
CAPNS2,2.43919
TLL1,1.760705
TNPO1,4.174945
LOC649377,2.031872
CRTC1,4.850969
FLJ37464,2.549652
GRIN3B,2.379794
RALGDS,8.08631
GNPAT,7.859348
OR2M5,1.776671
RAB27A,1.795489
ST14,5.901089
C21ORF29,1.902676
IL12RB1,2.273395
TGM5,1.839716
HCST,4.469706
TSPAN18,7.23473
BNIPL,6.922608
TCTA,4.213207
UST,6.957288
C9ORF156,5.757653
PRAME,1.974116
C4ORF6,1.795361
GRB14,2.539324
TLN2,7.108555
SAP130,8.247877
ALAS1,2.829353
FST,9.847286
DOK1,2.339209
PTOV1,10.197063
ITGA10,2.764972
VPREB3,2.458891
LARS2,7.415224
AGTRL1,5.758751
KCNH5,2.4068
FLJ22104,7.327508
KIAA1984,2.226234
PRKCBP1,4.502427
IHPK1,7.757498
ZNF500,6.097883
MMD2,1.851676
LOC349136,5.673539
QPRT,9.740489
C14ORF100,7.629345
OCIAD2,9.768117
SDCBP2,1.855007
SCN3B,2.142556
TROAP,7.545331
ASGR2,2.109835
RNF41,2.729382
ADCK4,6.104219
TRAF6,1.619947
ZWILCH,5.387366
SLC26A1,1.421635
ATP6V0A2,6.904184
HOXA1,2.415827
KIAA1522,7.182317
TRIM50A,1.735223
MAFF,6.877663
SLC22A14,1.502459
HSPC171,7.485634
HLA-DOB,1.704361
ITPKB,4.059798
SIM2,2.353219
AARSD1,7.769584
TMPRSS3,1.727214
MRPL43,7.1569
PPARA,2.884342
CLASP1,7.55789
C17ORF58,7.846263
HMGN4,9.364445
OR51I2,2.518767
FBLN1,9.598993
CHST9,6.512552
SPFH2,7.058286
ZNF552,3.352907
FLJ13841,4.281358
IER2,5.208236
C7ORF34,1.857368
ALS2CL,1.675003
FAM18B2,2.376913
RBM14,9.252175
RNF43,2.878396
CLEC7A,1.733204
CDK10,3.543122
ATP5S,6.152686
DDX24,8.403927
ABHD4,5.568807
CHAD,1.870517
NRXN3,1.625433
RNF135,5.969494
CD99L2,4.364743
VAT1,8.324797
SLC44A1,10.857453
GADL1,1.808386
SOST,2.24847
KRTCAP3,5.917199
RIMS1,2.177118
PBX4,3.672742
FLJ45850,3.12482
PSKH1,3.202735
EHMT2,2.288227
KCNH2,2.305218
UBPH,6.555441
KIAA0774,2.521042
DPP3,6.897129
SLC27A2,6.273682
PMS1,5.178861
MYL1,1.609056
TDRD5,2.028568
ENPP1,5.325559
LOC388199,1.762352
SAP30,7.212553
PCGF4,6.47439
MGC33212,8.992452
C3ORF59,7.35606
ENSA,1.682773
C6ORF205,3.170648
PRDM5,2.525107
KREMEN1,4.717604
HEXIM2,4.775052
PON3,1.730721
EFNA2,2.306443
SAA1,1.940614
EPHX1,6.979094
TFPI,3.677722
TUBG2,5.382128
CLN8,5.044444
KIAA1434,5.023475
LOC440944,2.518231
BCL2,1.51323
CC2D1A,3.887444
MGC5509,5.980957
PTEN,7.074755
HP1BP3,4.974346
BARX2,1.909725
FLJ34931,2.298276
PLA2G7,5.420561
VEGFC,3.223813
PIP5K2B,3.94853
PIWIL1,1.647207
SH2D1B,1.850575
PEO1,6.923321
MDS028,6.932219
TREM2,2.643853
TSPYL6,1.589616
ATP5C1,9.281654
COX7A2,11.605093
COL1A1,8.881556
LOC399900,12.06736
KIAA0467,2.238974
UBE2M,9.753448
LHX3,2.721708
C9ORF150,1.611545
NUP35,6.256318
FBXW5,6.540961
MGC34821,1.882892
ALS2CR2,7.974011
TBX3,2.487911
IKIP,4.796
HIP1,7.36688
PIGQ,6.830548
LAMC2,5.624256
RAP1B,5.47258
EDG2,5.33904
FBXO6,2.699879
FAHD1,7.000549
C1QTNF1,1.907699
TIMP3,2.543316
FLJ38288,4.696252
PEX16,7.318663
HGFAC,1.926062
LOC112869,3.218408
POFUT2,4.609057
SYP,4.431662
TAOK2,5.85912
CD5L,1.672068
EHHADH,5.093938
KIAA0391,8.290201
TRAF3IP2,7.392094
KRTAP5-3,1.807258
ABCA6,1.710728
WBSCR17,3.756542
MAP1A,4.445389
PKHD1,1.444569
UPK3B,3.244266
LAD1,2.884868
AMPD2,2.626736
RPS20,12.463889
ALPL,10.944387
RARRES3,4.542503
CDC73,2.616748
SCO2,7.110161
SULT4A1,4.388888
GDPD5,5.208741
PCDHGB6,4.993242
KLHL15,2.724936
ASCL1,2.150344
SLC24A6,6.180295
CYP7B1,1.479116
SEC11L3,7.850963
KLHL4,2.775694
C7ORF20,8.110377
AKR1B1,10.067945
UQCRFS1,11.251956
AP3M1,2.43704
PGLYRP2,1.862639
DCT,2.353059
IFIT3,1.736242
IGSF4B,3.551007
RPL19,12.876127
KLHL2,4.938297
ZNF44,2.42352
GNG5,7.461284
PPP1CC,11.105423
FBXO22,6.423852
C9ORF50,2.053547
ZYX,9.025482
AXL,7.616833
ZNF365,1.461128
CCDC62,2.024297
CD300C,2.34909
C5ORF20,1.523518
CD274,2.524274
KARCA1,6.654794
EEF1B2,8.373544
SNCA,7.640618
COL18A1,2.977906
FAM73B,5.969856
GPR34,1.712765
DLG1,2.438914
SHC1,4.856788
SYNJ1,4.00199
GRID1,1.903049
AFAP,5.460897
SV2A,6.700374
KIAA1909,2.586578
CNTROB,3.429444
ROPN1B,2.021169
C1ORF2,2.286523
MFSD5,7.258633
RAG2,2.29427
SPATA19,1.644929
EFS,7.148115
BVES,1.797761
C3ORF60,1.71462
LNX2,5.865101
HOXB7,2.544457
SPRR2G,2.848051
CACNG4,2.184557
AYTL2,8.948001
ST7,4.441914
GLO1,10.677794
ASTN,2.030072
C9ORF140,7.026834
FAM19A1,1.167608
LOC644076,1.589351
PCDHA5,4.371512
TGIF,5.57906
NEUROD2,2.810685
POLI,1.308069
MCM8,1.877217
C21ORF34,2.133241
CECR6,6.728143
C1ORF54,6.914323
FKBP1A,6.588623
LOC653056,2.263888
TMEM68,2.917572
CCNDBP1,9.04196
KCNT1,2.000267
HDHD2,6.725626
CART,1.980349
DOCK10,2.991656
NCAM1,1.636216
LGR5,2.821923
JAKMIP2,5.102358
ALS2CL,2.350664
DRP2,3.267359
BRD8,1.604501
MMP16,1.738245
SULF1,3.696983
BMPER,1.353597
CST9,4.992787
CNGB1,2.026119
ZNF706,5.963033
LILRA4,3.188275
ZC3H3,7.842909
PACSIN2,9.258078
PKD1L3,2.794495
SPIN,7.071778
SLC35D3,2.440234
SOX30,1.511493
DNMBP,3.110923
IGF2BP2,9.859099
HOXA9,1.556395
SGK,8.201402
TRIM63,2.467698
FTMT,1.72131
RPS6KA2,6.363517
ALDH3A1,1.969646
CDON,2.783771
C17ORF48,4.612038
CD244,2.005107
DKFZP434O047,2.107272
CCDC55,5.393396
CALCA,2.577239
FAM125B,1.866881
C10ORF96,5.144746
WDR73,6.666453
KCNA3,1.361128
B3GNT5,2.186563
FLJ43987,1.850055
ASB4,1.615856
RETSAT,5.479206
TUBB6,7.848809
FLJ16478,1.92762
C17ORF68,4.433197
RBMS3,1.295473
SLC33A1,5.058941
MTRR,2.426465
TNFAIP3,4.188943
AFAR3,2.386206
LSM11,2.483448
PCBP4,2.137226
PPP2R3A,2.88654
TRIM55,2.609958
MECP2,2.832824
STK24,1.982193
KLC3,2.520881
MGC39581,1.817533
DKFZP434B1231,1.509113
BMP15,1.808553
PGM5P2,2.067274
ZMYM1,7.063529
CYP26C1,2.203959
SEMA4A,5.774016
KNDC1,2.846146
LOC541469,2.177302
PDCL3,7.322624
OR4E2,1.730202
FLJ41649,1.84568
B3GNTL1,3.758095
TTLL7,3.882176
NTRK2,1.751822
OR52W1,1.74142
TAS2R45,2.093493
PSMD1,9.680186
VNN3,1.796542
ADHFE1,4.424173
SGCD,2.143181
FLJ22639,3.177113
OR2AK2,2.543456
PLEKHA7,4.655243
PKIG,2.849635
FBXO9,1.615672
ADM2,6.806226
EGFL9,2.015948
PDE6H,1.625008
NALP6,2.67873
GJA5,2.774371
FLJ13391,4.252371
SHOX2,2.31092
MTCH1,11.36213
FAM20C,3.75596
NOC4L,6.062275
ZNF265,9.131604
CACNA1G,2.85009
MAGEB10,1.878816
WRNIP1,6.017934
IDUA,3.645395
AKAP7,3.007217
ZFP91,5.714285
LOC652888,2.223196
CREB3,3.562814
CPD,7.427452
PYY,3.468505
NFS1,2.802368
LGR6,2.448601
RECQL4,6.67558
UBE2L6,6.150348
KCNE4,2.059143
BBS7,2.737985
LOC644997,1.480409
AXUD1,7.521598
DJ122O8.2,7.586162
NEDD4,3.421112
2012/03/02,5.512339
N-PAC,7.91595
SFI1,2.373706
SCG2,3.175902
ETV3,3.332766
GPR148,1.886876
FGG,1.548001
PRKD3,3.160387
EDN3,2.885871
FRS2,3.688268
KTI12,6.622614
HRBL,3.066955
MAP1LC3B,8.162466
SBF1,7.221271
SP140,1.468178
UACA,3.057277
FLJ10178,4.91702
SPIRE2,5.076491
PTK9L,8.109931
C16ORF44,6.354582
ARL6,1.583944
GPR44,1.546732
PSTPIP1,2.711278
FEM1C,7.118463
LACTB,7.567767
CHRNE,1.685855
ZDHHC12,6.818692
NAV1,5.754502
VPS41,8.192211
FZD3,7.555763
PARP3,2.627878
LATS2,5.5187
SON,7.038236
FLJ10374,4.798513
PLSCR3,9.314522
ZNF658,3.649814
ZNF593,7.678231
WNT9B,1.794083
ATF6,7.028804
POLK,1.987857
ARHGEF2,8.978256
KCNQ2,3.601199
HISPPD2A,2.66952
PDZRN3,2.210953
SRP68,8.589435
EDG3,4.939084
AIF1,1.855646
CSHL1,2.336136
FHL3,7.354596
DNCL2A,7.849431
GLTSCR2,11.377583
PCDH20,4.489714
DNAJC17,5.984075
BAIAP2L1,8.478241
AHSA1,8.868683
PPIB,4.529674
EEF1D,2.145836
LOC388595,2.527296
TNIP1,5.795904
KCNJ4,1.771491
COG4,5.684741
BRF1,4.764869
RASA2,3.498319
C19ORF12,6.196376
KRTAP5-10,2.076845
CCT7,9.191201
AATF,8.610686
OR5T3,1.357868
CEP192,6.783021
GPR12,1.329575
ATP4B,1.940181
ANXA7,8.741741
ADAMTS3,2.53338
UNC5D,5.613832
DGAT2L4,2.04881
C20ORF186,1.27159
RAPH1,1.628897
DYNC1LI1,2.601085
EFNB2,7.675949
SFTPG,2.77224
SUPT5H,8.208026
OR9A2,1.885671
SLC16A2,5.751905
TBC1D9,4.14577
DKFZP762E1312,8.10129
OR6C3,1.693197
MKKS,2.085898
PTGER2,2.282225
ADORA2B,5.441738
KPNB1,11.199247
FBXO32,3.264912
KIAA0251,6.684006
MAB21L1,2.14048
TIGD6,2.553978
ARFRP1,3.979174
IL1F6,2.325526
SYNGAP1,1.311605
OGFOD2,1.628614
UNQ846,4.56555
FLJ20512,9.645546
LOC643905,2.369638
DEAF1,2.064841
HSPC111,7.402878
KCNH3,2.67112
ACTL8,3.019276
RNPC1,6.627115
HPN,1.642689
DGAT1,5.583236
HSF4,2.404073
DHRSX,6.187629
TNFRSF19,7.701289
SULT1E1,2.327268
ATP13A2,6.701337
AIFL,2.400583
PSKH2,1.576596
FUK,4.796477
DSG2,8.064195
GPR154,4.595451
CNTNAP4,1.792139
C1ORF27,1.711214
MAX,4.381132
C14ORF126,4.729223
OR52A4,2.127374
MYO18B,2.280826
LAMA3,2.182613
C6ORF106,5.374828
RANGNRF,2.090588
FXYD5,7.841881
SPTLC2,5.315347
CDH3,9.079221
NIP7,8.326118
FLJ13273,7.341995
IL2,1.508076
FXR1,2.372446
WDR25,4.892241
IGSF3,8.578743
NCDN,2.908968
ZNF174,2.833166
LIMA1,7.181235
GLDN,2.001546
INCA1,2.610345
TRIM37,7.025545
FZD9,5.858379
PSMD13,4.572343
PLAA,2.091222
FOXD1,4.822907
PLA2R1,2.422111
ZNF556,2.062575
FLJ43855,8.572564
BCL9,7.567124
GPR20,2.743748
CRI2,7.156108
LOC283152,2.960351
COX5A,11.755726
OR7A17,2.203823
KRT25A,1.69406
STAP2,4.175543
SERINC4,2.539568
PPIA,5.818737
PHGDH,12.106268
AZIN1,7.158324
RPS6KB1,6.983313
OR10A5,1.788694
ABCA13,2.760408
HYAL4,1.851457
VPS29,9.250497
SLC1A7,2.196664
FLJ35725,3.174647
PPP2R1B,7.044696
GPM6B,9.246981
OBFC2B,7.684512
IGSF1,5.684197
APOL4,2.068468
MCM7,7.770416
LOC344405,3.998089
CSNK1G1,6.030499
C1QR1,1.87025
PROKR1,1.361824
EPAS1,8.501731
HKR2,2.624329
C10ORF125,5.708011
FADS6,2.137324
LOC339344,7.965951
MARK3,6.224122
CLEC10A,1.489412
ARL4,5.700859
OR2A12,1.917435
MYO1A,1.89115
PGLYRP1,1.709922
USP38,7.081588
PPCDC,2.198977
ATPBD1C,2.020423
TRIM5,6.727515
SARDH,2.738986
PRNPIP,3.558951
CYP27A1,6.02715
GDNF,2.216673
SEH1L,6.305317
FBXL7,3.226577
TLR8,1.706686
NDEL1,8.62267
BTBD11,5.501033
SLURP1,1.210368
ORC5L,7.956587
SDCBP2,3.773204
FNDC3A,5.753011
C6ORF85,6.446333
CACYBP,5.95822
ULK1,9.254237
SF3A3,9.628229
NEFH,5.469949
SLC26A7,2.475769
MPO,2.306308
PAP2,3.443127
FOXC2,2.386637
ATP1A4,2.26977
GRASP,2.436372
TMBIM1,5.527511
TRAPPC2,2.831071
TMEM110,3.960436
PRTG,2.420008
SLCO2A1,6.977048
TDRD7,6.44982
SERPINA7,2.581227
DNAH11,1.617287
ACSL5,3.931094
ADAMTSL1,4.043865
KLK8,1.822141
PTPRD,5.755221
CPZ,6.981469
CAPN1,9.15827
RELA,4.670092
MYBPH,3.110235
TEAD4,8.207087
FCGRT,6.417146
ZNF161,8.555356
LOC146713,2.425077
ZNHIT3,1.664786
SPATA21,2.348812
FUT9,1.340685
BAT3,6.430033
THEG,1.764075
PPFIBP1,2.314396
KLHL22,5.942214
SMAD1,2.434311
LOC644784,1.875136
PDK2,2.860719
CYP2S1,10.047896
C17ORF81,2.39479
LOC148898,2.060839
CMTM3,8.047178
AFG3L1,5.89218
TRIM58,1.854811
MRPL41,8.858108
FLJ30058,3.873756
PIK3CA,4.216145
CAMK1D,3.330688
RBP3,1.945585
UPF3A,7.665679
SPAG1,2.199486
LOC653466,2.319516
POU5F1,10.687547
OR56A4,2.004342
KIAA0802,3.346961
BCAP29,1.53067
H2AFY2,9.388323
MPP4,1.975981
NAT10,9.279898
KLHL17,5.621992
CFL1,10.632457
USP2,2.001898
ACR,2.250485
BCAM,1.520379
FAM71C,1.783416
DMXL2,2.94341
SULT2B1,2.681817
MRAP,1.620292
LMX1A,2.228277
LEPREL2,6.339612
NRGN,2.430487
ADAM12,2.864855
COPS8,1.79867
KIAA0460,4.421164
MGC41945,2.137717
IMPDH2,10.77207
FLJ10357,3.493482
OR5BU1,1.277144
LSG1,6.641687
TGM2,4.501937
CCNB3,1.674444
SCT,3.732699
CRAT,1.398337
TIGD5,7.043295
NXF1,8.075917
CFTR,3.144465
LOC144501,3.129
RICTOR,2.822184
TTBK2,2.296482
FLJ31846,2.853637
CXORF44,3.931737
SPR,4.945139
AP1M2,5.059324
CMYA3,2.114726
NAP1L1,7.181793
SH2D1A,3.592483
NUP153,8.415384
BAIAP2,5.829881
ASCC3L1,4.706673
LONRF1,6.993432
PIGA,6.774252
MAFK,2.060972
GALT,5.137012
FAM43A,5.889624
TMPRSS4,2.682627
ANKRD15,3.565823
PLD5,4.192473
ENTPD8,2.625903
CS,9.670824
GLS2,3.923419
SF3B1,9.713115
DEFB125,3.035284
HECTD1,8.98823
DICER1,1.525819
C7ORF31,1.512509
C16ORF34,6.058559
PAGE2B,1.235022
MGC13096,8.056527
ICK,1.924668
C12ORF53,2.945699
PCQAP,2.847939
LOC654119,1.932044
KCNJ14,1.922569
TLR4,1.96423
CSE1L,10.920542
CCT5,5.953331
HAGHL,2.107138
RNF157,3.831183
HCCA2,5.767936
RET,4.877256
ADAM22,2.098964
EIF2C4,2.858339
C14ORF112,8.655688
MRPL33,9.693205
SAMD12,2.095939
FLJ31413,7.404645
ABHD6,4.149445
C12ORF38,2.55522
RFX2,1.769798
OSBP,8.939873
UGT1A6,1.226496
CHMP6,4.472756
POU1F1,2.133585
LOC653502,3.140763
HUS1B,4.753849
C1ORF66,6.321935
TM6SF2,3.658109
DSTN,9.821282
MDK,3.876186
TTC5,6.692379
HOXA7,1.707826
BARHL2,2.385149
P2RX2,1.916465
SART2,8.570937
EIF2AK2,8.709481
COL5A1,7.188853
ZNF454,2.018007
TEF,5.94687
LAMC2,3.342969
CSNK1G2,8.125314
FCGR2A,1.848464
ABCC5,7.429714
JMJD1B,7.248728
MAX,3.119378
SPTBN4,2.187188
SMG7,8.611216
FLJ20628,7.049065
SLC35D2,6.516469
SHBG,3.529069
APOL2,3.660239
DLAT,6.974319
MLLT1,2.920829
PPHLN1,2.976272
PLEKHA9,6.115786
WFDC2,2.200005
ELA2,1.326483
COL6A3,6.631225
BDNF,1.862712
C6ORF150,4.181556
OR4N2,1.805581
OGG1,5.796785
HYI,2.959602
FAM80A,4.963873
TAS2R16,1.810217
MAPK1,5.165487
SCRT2,2.209592
KLHL5,8.313583
KHK,3.147032
FLJ10786,1.767743
LOC653792,2.083457
TMEM80,1.762457
CD200,3.932609
ZNF451,7.55441
SEC24C,2.150087
GOLPH3L,6.393698
GCK,2.050945
LIG1,7.798271
TAGLN,2.782536
H2AFV,4.045679
TRPM5,1.61593
SLC6A14,0.873737
SERP1,7.230652
THADA,2.653492
PKN2,5.413842
FLJ32871,1.46876
DEFB119,1.824275
TCERG1,6.98968
OPHN1,2.767118
CSF3,1.769223
LOC91689,3.400488
RPL34,7.684959
BCL7A,2.952208
MGC21675,1.661147
HOXD13,4.930485
PSG11,1.64929
NAG6,6.702485
PCNA,5.629056
TIMM22,7.67643
KIAA1217,5.343714
ADAR,4.245496
ATF7,2.087744
C6ORF65,3.709967
ZNF271,7.24619
ADAMTSL1,2.141773
TMLHE,2.897248
TCF7,1.917218
NFATC1,3.996076
REV1L,6.819561
SALL3,6.758988
MAGEE2,2.088406
PCOLCE,7.198469
SORT1,7.278522
UBE2D4,5.736096
DENND2D,2.103622
TFPI,7.460303
LOC400566,5.384901
LRRFIP2,6.857484
AGMAT,5.301722
HIST3H3,1.656868
NSD1,4.725144
WDR20,7.141925
B4GALNT2,2.819195
EBF3,2.696173
NBPF3,1.904011
HIST1H3J,2.158929
KRTAP10-2,1.678776
FLJ36492,2.1553
FLJ22662,7.139562
KLF1,2.551892
IKBKG,7.401538
MGLL,1.781135
CCDC54,1.830574
NFIL3,5.184977
PAX3,1.783728
PDZRN4,1.667201
TASP1,5.782761
ARPC4,8.098532
TUSC1,5.189434
OR2D3,1.258014
CFL2,3.078095
OPRD1,2.452793
SLC2A7,1.583331
ESRRB,2.070207
LOC653703,1.983879
CRKRS,6.33764
TXNDC8,2.556574
CLCN3,1.925946
UBE2E2,8.386364
GEMIN6,7.811931
C1ORF144,7.733473
YTHDC1,9.888633
PGPEP1,2.811751
NKRF,6.326476
FAM59A,4.554357
TSCOT,4.413094
TNIP3,1.486967
ZNF37A,2.003962
WDTC1,2.881964
FIGF,2.622031
TRG20,8.197737
MGC61571,7.079169
MPDZ,7.361414
T2R55,1.93224
LOC441242,1.783624
IFIT1,4.108048
SLC6A13,5.390445
CIB4,1.62611
BAALC,2.339991
SLC1A5,8.472701
ANGPTL4,5.241605
NNAT,7.178442
MGC51025,1.447413
PIM3,5.135177
ST7,5.724143
SPDY1,1.816674
ZNF257,1.626399
C6ORF165,1.951618
CCDC72,10.947153
TAZ,5.403604
DGKK,2.459504
RNF128,2.24766
RPS5,12.325133
UGT1A5,1.989606
H2AFZ,12.726881
RUFY2,3.524181
NMNAT2,1.62472
DHRS7B,6.2922
FLJ35119,3.806703
HELB,3.724264
AES,2.807467
NBEAL1,2.953322
SERPIND1,1.922866
INCA,2.471489
FOXR1,1.87323
MICB,6.135393
LANCL2,5.621193
LOC51149,2.459842
C20ORF108,6.395595
LOC399706,1.670306
RBPMS,5.443025
C9ORF127,4.668226
PLEKHF1,5.828885
USP13,7.647946
MAP4,5.978626
DAXX,6.489245
LYCAT,7.785186
ARHGEF5,5.18256
PANK2,8.742328
LIX1L,3.08355
LMNB2,10.325845
GAN,2.728429
EZH2,6.345528
DPT,1.336007
FLJ11155,5.526747
EHF,1.51072
BHLHB9,7.335489
NUP50,4.167295
CXX1,8.196539
TBPL1,9.026982
DXS9879E,9.391757
BPIL2,2.293334
PRKCABP,5.416775
KPNA2,6.57792
EIF3S10,7.779608
CDCP1,3.553843
ODF1,2.075906
PZP,1.832568
OTUD4,6.47194
COPG,6.751242
PAK6,4.289432
OR52E2,2.566182
LILRB1,1.412374
NR1D1,2.218221
CLDN15,2.050529
C10ORF55,2.090691
FLJ39501,1.780269
C11ORF16,1.775098
ALAS2,1.832724
RAB11FIP3,8.138516
NOXO1,2.382784
DAPK1,7.610271
DNTTIP2,2.298449
ADAM8,2.715406
LOXL1,2.472674
EPS15L1,4.785513
IRF1,4.683499
TMEM103,8.536733
NR1H4,1.669339
MGC34725,1.671522
GNL3L,8.75044
KPNA3,7.396255
GPR150,1.26312
PLCB1,2.039775
DSCR5,2.619923
TMEM80,3.54793
BIN3,3.747126
CNN2,7.720806
BRSK2,3.703448
AFF4,5.925087
PPM1E,7.114858
BNIPL,3.516299
PRTFDC1,5.655993
PAPPA2,1.792405
