Gene,H1hESC_rep1,H1hESC_rep2,H9hESC_rep1,H9hESC_rep2,hNSC_rep1,hNSC_rep2
FHOD1,7.394527,7.605033,7.167001,7.011159,5.521907,5.453033
MSH5,3.780271,3.744316,2.911808,3.145603,4.148559,2.894785
MAP3K11,6.548482,6.612006,6.613728,6.151981,6.058559,5.975772
RORC,1.780698,1.841101,2.643853,1.528823,2.82543,1.699313
SLC38A2,8.720075,8.745137,8.46356,8.370413,6.959183,7.178155
GSTM4,2.411097,2.316686,3.320747,3.698019,4.503238,4.61018
GRIK1,1.636641,1.540198,2.026606,1.689726,3.153288,3.60886
GALNT11,7.395815,7.483936,7.203192,7.139562,7.689196,7.52226
BASP1,11.443535,11.397052,12.388596,11.906457,9.799088,9.840157
CCT3,7.646532,7.711606,7.738718,7.837126,6.942316,6.846933
EHD1,7.853534,7.669885,7.240951,7.402435,8.938167,8.785352
RND1,5.912291,5.71898,4.706673,4.023023,4.705402,4.807835
ITSN1,2.410019,2.366581,2.908497,1.822652,1.998026,2.176384
RPS16,13.416684,13.163579,13.343041,13.416684,13.060432,13.114729
UBIAD1,6.328323,6.277507,6.208644,5.989059,5.626343,5.519828
EVC,3.779779,2.783771,3.334041,3.514815,3.577266,4.413094
CWF19L1,8.458868,8.631482,8.43959,8.575467,8.472701,8.514221
KCNA4,1.357683,1.520867,1.579752,1.992532,2.399958,1.946342
RASL11A,1.907332,2.015177,1.962892,2.569726,2.082397,3.252641
ZNF187,1.821559,2.090926,1.925107,2.238974,1.715848,1.806641
SETD8,5.634774,5.540697,5.543513,5.390445,6.895355,6.844955
OR6C76,2.333834,2.213993,1.701342,2.751554,2.700759,1.742535
ANK3,2.305452,2.550978,1.954212,2.132485,2.592247,2.306638
SCYL3,3.721312,3.786491,3.807695,4.195064,4.466059,4.76885
TPST1,7.023605,6.948422,6.601296,6.646035,8.3364,8.371053
ABCC5,6.607366,6.71546,6.309505,6.232119,6.572673,6.559417
FGFR3,2.78589,2.949519,3.014433,2.329192,2.648676,2.191901
TP53I3,3.278251,2.646929,2.509864,3.933114,3.846146,3.129316
C6ORF129,7.024613,6.955906,7.198843,7.573911,9.410972,9.430026
SMC1L1,3.637024,3.925335,3.186875,3.612644,4.047299,3.842672
PPEF1,2.148503,2.199353,2.277665,2.191374,3.201415,2.217175
DHX57,2.487287,2.331314,2.436152,2.029178,2.73522,2.122524
LOC442715,1.906281,1.778536,1.776335,2.039182,1.47365,1.408504
CSNK1G3,6.888398,6.635217,6.98081,7.071778,6.547465,6.505648
UPP2,1.70443,1.658484,1.831713,1.608656,2.324112,1.550188
TTN,1.840434,2.325952,2.047272,2.65449,1.504399,2.003106
KCNMB1,2.883947,2.701215,3.358654,3.911801,3.990221,4.15694
MGC42105,1.88829,1.679993,1.673105,1.911499,5.861975,6.041509
ELF4,5.359065,5.489357,6.247901,6.252106,5.008772,5.31168
PAPOLB,2.027,1.995421,1.404166,1.162663,2.566653,1.641043
KRAS,1.304585,1.327889,2.029311,2.178073,2.266056,1.636401
LMBRD1,7.699477,7.533402,7.411215,7.647946,8.708904,8.511149
PPYR1,2.689542,1.415365,1.808386,2.136737,3.320747,1.782494
MRPL43,3.664504,3.624721,2.664501,2.262669,4.127129,4.00917
PNKD,3.90403,3.637693,3.639784,3.3167,3.920395,3.915807
DVL2,7.232845,7.213029,7.203525,7.296284,7.625949,7.622491
LOC649159,3.028122,1.648452,3.671499,2.673962,2.841318,3.112703
CDKN2C,3.233079,3.129997,1.649004,2.084867,2.391999,3.57361
FLJ41733,1.949133,1.790779,2.227193,2.556089,2.771744,2.307618
IL4R,5.188274,5.035052,4.946114,5.160662,2.039123,1.63738
LOC653797,2.358769,1.6602,1.823176,2.061909,1.782934,2.1939
CCM2,2.04933,1.405189,1.540911,1.759312,2.13013,2.03839
COX4I1,12.353439,12.315066,12.340814,12.239653,12.333842,12.267844
C20ORF112,1.910178,2.870604,2.566653,2.601085,2.650284,2.161128
HSPC049,5.530498,5.653621,5.571682,5.115506,6.307132,6.557109
CBR3,4.503238,3.910951,3.143279,2.563787,7.243157,7.287495
POPDC3,3.759172,4.392379,3.307941,3.488877,2.570254,1.590278
PPP2R4,2.843542,2.446576,2.530551,3.011299,2.962713,2.263888
SECTM1,2.919756,2.872188,1.832847,2.452114,2.380075,2.371132
FBXO32,3.912138,3.740188,2.242054,2.950933,4.214371,4.120081
NOG,2.394245,2.208368,1.46857,2.307529,2.65158,3.351894
ZNF507,2.938598,3.230523,3.958745,2.965051,3.865283,4.004991
TTC8,4.300985,3.659278,3.244555,4.060293,5.876158,5.459842
LOC200312,4.828089,4.55304,3.940155,4.240721,4.226468,4.869928
SPAG1,2.091777,1.347703,2.370986,1.911214,2.228573,2.091402
FN3KRP,7.889702,7.974011,8.366659,8.240089,8.556106,8.55994
FLJ46481,2.39604,1.724902,1.903953,2.041142,3.052237,3.4592
PDHX,8.333382,8.245071,8.429676,8.409174,7.097524,7.077516
NALP7,4.226778,4.577382,5.089172,5.000837,2.16342,2.064841
ERCC1,3.686481,3.543644,4.196873,5.032556,2.908214,2.955407
KIAA1324L,7.287495,7.264452,7.616007,7.66867,4.424681,4.588475
IFNA17,1.516314,1.772241,2.068311,1.907116,1.151287,1.733325
IPO7,7.434009,7.107631,7.280922,7.328399,5.807299,5.715453
SUCLG2,7.305986,7.359431,7.83457,8.025957,7.680957,7.748165
LOC653723,2.623226,2.664501,2.019121,1.497643,1.855942,2.250686
RAB2,6.848592,6.689504,6.905985,6.851921,5.85912,5.825102
TRPT1,2.661773,2.108979,0.982161,1.660538,1.6602,1.346122
PRKCBP1,7.68607,7.590187,7.889702,7.982337,7.514479,7.435901
SPATA7,6.162719,6.442827,6.628023,6.925397,6.279644,6.722613
PHKB,5.248918,4.456922,5.386862,5.464436,5.257646,4.662821
UCN2,3.056514,3.544956,1.890684,2.281125,2.20946,1.885969
CA1,1.65306,1.86118,1.782934,1.908176,1.960228,2.021377
MTHFD2L,5.130657,5.029296,4.854175,4.77958,5.769966,5.90021
LOC644398,2.342428,2.559102,1.544465,2.339074,2.226819,2.016947
RAC1,2.701857,2.932375,1.934621,2.475288,2.32434,1.449662
TMEM98,7.128934,7.061803,6.83224,6.793658,6.776973,6.586067
ALS2CR19,2.27424,2.899673,1.85837,2.014204,2.128464,1.865659
LOC112714,3.625186,3.722431,4.43104,4.477325,5.170149,4.596895
SLC26A4,1.973745,1.804263,2.925543,1.726237,2.136514,3.131073
BRAF,4.596281,5.054151,5.360374,5.197074,3.335322,2.569152
THAP7,5.289496,5.612074,5.612625,5.766549,6.283751,6.236921
RIOK1,5.794907,5.471795,5.69783,5.542788,3.564718,3.467279
LOC650254,2.14974,2.581227,1.469265,1.889361,2.266347,1.348038
APEX2,7.744527,7.630113,7.941416,7.945939,7.009783,7.036637
C21ORF25,6.918138,6.981469,6.8996,6.908199,6.518346,6.390396
MTMR9,8.185627,8.009754,8.340504,8.238876,7.513557,7.401965
C9ORF28,5.995079,5.972269,6.380034,6.198299,8.632837,8.584124
C5ORF16,5.846901,6.244634,5.53884,5.369744,4.893573,4.375822
DTNA,5.599409,4.929821,4.821847,5.356898,7.843913,7.943
TSHB,1.733325,1.829886,1.761859,1.955087,1.518779,1.841434
POLD1,8.130394,8.090642,7.953226,7.75587,6.992235,6.991538
ACTR5,6.695902,6.583891,6.443427,6.294495,5.592251,5.599765
C11ORF35,4.061118,4.2565,4.694284,4.03172,1.95777,1.538098
LOC647760,3.818971,3.738434,3.706208,4.350172,4.34219,4.039323
C9ORF19,8.89989,8.890676,8.950131,8.952682,9.843707,9.82688
INPP4A,4.171055,4.058024,4.722197,4.188452,3.795958,3.788345
SH3KBP1,1.633099,1.974006,1.683958,2.081664,2.161395,2.202654
GRB10,2.738765,2.554752,3.132689,3.230523,2.000726,3.173948
FAM89A,5.224282,5.250454,2.28635,3.230964,1.966706,2.652446
SHH,2.038189,3.407518,2.619523,3.854112,2.516804,1.955087
KIAA0773,3.594583,2.881665,3.818971,3.321092,4.791911,4.273728
C10ORF111,2.262359,2.887417,2.151046,2.21535,2.875989,2.193143
THEX1,1.891379,3.368239,2.096201,3.480245,2.761288,1.701595
TMCO5,2.260755,2.563183,2.731877,2.386357,1.989331,1.958562
C14ORF2,7.636702,7.655426,7.433038,7.618078,8.462102,8.33771
GLT8D1,2.522384,1.513537,3.42603,1.888993,1.703607,2.504862
ANK2,1.644104,1.440341,1.710728,1.925029,2.214976,1.118518
HTR7,2.861682,2.186045,3.108131,2.906565,2.938598,2.189032
RPS6KA3,3.840923,4.368992,2.903609,3.716444,3.446312,4.491137
ERF,5.948687,5.722364,5.824423,5.779928,6.988908,7.12501
WDR71,7.48905,7.625407,7.641016,7.861578,6.948422,6.877663
C19ORF37,9.18095,9.217339,8.98823,9.120327,11.339036,11.30315
HIC2,8.489402,8.544696,8.835343,9.04094,6.604193,6.857484
CDC42EP2,4.624331,4.850099,4.677127,5.112539,3.496153,3.809377
TMOD2,2.042081,1.689726,1.966443,2.310604,3.228644,2.741337
PIK3AP1,2.562454,1.87837,1.936225,1.800423,1.848464,2.74561
CLK1,3.490596,3.317937,3.398291,4.141802,3.593757,3.366286
LOC400451,7.354201,7.337542,7.016041,6.785204,3.929467,2.989283
ATP5J,7.649164,7.89451,7.612231,7.993972,8.161166,8.411008
HOXA3,2.221996,1.55563,2.561257,2.444073,2.4644,2.133846
IL10RA,2.279299,2.268006,2.709417,2.220113,1.953903,2.581575
LRRC17,4.741891,4.443963,4.251895,3.735046,8.597683,8.533471
GAS2,1.834392,1.685731,1.860322,3.112513,1.818335,2.501147
SLC15A1,2.303606,1.966293,1.839868,1.778017,2.590484,1.942122
LMX1B,2.48115,1.280462,1.896333,1.890778,1.407597,2.157317
UBOX5,3.151473,2.607457,4.206955,3.5422,3.748054,3.501828
GBGT1,4.158249,3.971017,4.31719,4.063053,2.254496,2.641719
CDC5L,7.142319,6.896218,7.407456,7.209202,6.695902,6.630957
EZH2,7.335864,6.844955,7.132499,7.096345,5.438812,5.417125
RHOF,3.374607,3.390151,5.000837,4.379846,2.146642,2.002559
POGZ,5.787042,5.245896,4.4883,5.002057,4.592459,4.487879
PRRG3,2.922972,2.354544,2.470056,2.204965,2.268047,2.418732
RASAL2,1.977023,1.925733,2.110429,2.004342,1.631962,1.658235
DLK1,5.741626,6.39216,4.375822,5.044801,3.517225,2.716189
NUP160,9.244348,9.315294,9.296992,9.119538,8.131917,8.096374
PRDM2,2.124845,1.641043,2.193351,1.59968,1.656868,2.847587
HIST1H2BL,2.178073,1.225803,2.355251,1.881949,1.891818,1.682693
CABLES1,6.620292,6.649186,6.959956,6.576517,6.301598,5.761277
CSN1S1,1.6358,2.117119,1.684574,1.978094,1.936529,1.85933
COL4A1,9.769903,9.774871,9.203072,8.980795,9.933536,9.945702
PCDHGA12,2.012421,1.874503,2.077112,1.96318,2.328051,1.638935
HSD3B7,3.224531,3.283244,2.616592,2.779564,1.968864,2.988049
SOX3,7.707143,7.563851,8.223199,8.009754,7.940516,7.846263
OR10Q1,1.653962,2.329758,2.586855,1.38997,1.77183,1.504916
CCDC64,1.937273,2.295311,2.165232,1.182924,1.776227,1.248631
C20ORF152,2.15044,1.756999,1.427138,2.11923,3.36388,2.820115
ECH1,9.539666,9.529383,9.672777,9.802518,9.645546,9.740489
ST6GAL1,2.242054,2.159021,1.964323,2.555646,1.991275,1.717713
PER1,2.243633,3.163603,2.272761,1.806415,2.895005,2.042762
CSTF2,8.063084,8.163031,7.734926,7.832107,7.018295,7.005514
SH3D19,6.995798,6.856819,7.365621,7.271543,8.480406,8.426525
MSH4,1.889554,1.65797,2.136233,2.919369,1.868943,2.022259
DPRX,1.342099,1.844271,3.2737,3.019956,1.830574,1.782804
SNCG,3.207949,2.328935,2.69089,3.449291,1.720739,2.433353
ZSCAN2,4.9436,4.592987,4.856121,5.214988,3.656338,3.20103
AAMP,7.010735,7.133422,6.714613,6.980511,6.55104,6.441501
CLEC10A,1.800652,2.009533,2.536268,1.569926,1.9372,1.417697
GCNT2,3.880744,3.663195,3.844527,4.11155,1.44787,1.637979
SLC22A17,7.972899,8.235107,7.936103,7.531507,9.213307,9.199612
EFEMP2,6.221832,6.154693,6.296505,6.140764,8.953367,8.9107
ZWINT,2.470476,3.179863,3.080507,2.528933,3.990221,3.90065
ATP1B4,1.71096,1.975859,2.288227,3.237983,1.638814,2.322022
PITPNM1,8.027549,8.194494,7.638369,7.283166,8.081393,7.98006
C3ORF22,2.168244,2.244771,1.852131,1.432234,2.262609,1.881126
HIST1H1B,2.025895,1.734896,2.232515,2.770633,2.050135,1.477047
KIAA1893,4.916175,5.257135,4.276399,3.610157,5.227207,5.190413
GPR26,2.224613,2.821037,2.441059,1.953124,2.430665,2.069548
MUC20,1.879505,1.501904,1.308069,1.88479,3.01095,2.791896
LCE2A,2.154925,1.770395,1.36502,2.068783,2.758171,1.593824
APP,7.332683,7.301715,6.527123,6.788959,4.149909,4.851706
PFKFB4,7.109017,6.995459,8.012407,8.198845,7.921867,8.038571
ZNF580,3.12449,3.15667,2.968311,2.952208,2.572328,3.49107
MC1R,5.040851,5.239505,5.354161,5.256614,5.186114,5.352222
FAM29A,1.907183,1.854386,1.679372,1.822353,1.257085,1.625917
USP32,2.255467,2.561714,3.716845,2.69692,3.123446,3.033828
RECQL5,2.277115,3.223959,2.638352,2.2462,3.556708,2.925543
DUS1L,5.261331,5.586349,5.534482,5.149331,4.905552,5.5557
FUT3,2.237985,1.155644,2.377709,1.687988,1.403732,1.591897
ATP8B3,4.56619,4.432912,4.573974,5.017222,2.205463,1.723341
KIAA1946,3.148714,3.442054,2.539324,2.204714,3.852529,2.859187
KIF3A,2.46124,1.813218,1.84695,2.512267,2.410985,2.165232
SULT6B1,2.589468,2.202926,2.255291,3.109437,2.475769,3.793868
NKIRAS2,6.50382,6.416871,6.509189,6.270344,7.392684,7.338955
RAXL1,6.017419,6.25082,5.509815,5.043286,5.351914,5.222688
LOC643394,1.584701,2.138533,1.856045,1.937901,1.802641,1.400264
SLC35A3,6.961448,6.985919,6.716949,6.530603,6.625335,6.483112
HNRPDL,8.278611,8.561507,8.408431,8.296137,7.810132,7.816117
DMD,2.297704,3.875135,2.835171,3.072072,3.553843,3.04706
PHF14,6.928467,6.727515,6.610739,6.396531,5.990046,5.919234
CDK2,5.739261,5.901089,5.976643,6.02332,5.685538,5.821856
PSORS1C2,2.373069,2.891414,2.069626,1.812186,1.960315,2.604813
MID1,2.126382,1.592415,2.852292,1.344987,1.840825,1.855424
IL11RA,2.057132,1.641531,1.69912,1.900664,2.249735,2.127618
MGC48628,1.910846,1.860822,1.40093,1.295473,1.723705,2.520189
SULT1C3,1.884586,1.967519,1.85684,2.560852,1.691304,2.690723
HES4,7.313991,7.409357,6.661499,6.909933,9.316975,9.362506
KENAE,1.91845,2.664148,2.928869,2.10115,2.508239,2.087874
S100A1,2.802042,3.70694,2.164495,3.149335,3.557375,2.40539
GLUL,3.640223,2.692845,2.986293,2.802042,4.082398,4.054409
IGSF6,2.384755,2.250686,1.580873,2.139073,1.898637,1.198608
SEMA3B,4.358133,4.134966,4.261592,4.258886,4.365682,2.532163
EDG1,2.74688,3.315576,3.192889,3.440719,6.147801,6.198299
SIKE,4.965418,3.90065,4.530656,4.618969,3.199681,3.929067
TEX10,8.770697,8.687919,8.540464,8.522126,7.983335,8.082964
C14ORF80,4.645272,4.968292,6.126592,5.906439,6.928467,6.671775
XYLT1,2.501811,2.152199,2.732976,2.702091,2.045975,2.323552
TRIM40,2.089697,2.947762,2.257765,1.761488,2.26061,1.803173
ATP5D,10.165158,10.33216,10.340583,10.234994,10.608424,10.497298
KCTD9,5.640691,5.831769,6.104219,5.840639,4.021601,4.940974
PIGO,5.368123,5.127344,5.29909,5.370759,5.464986,5.507042
UBL7,5.869822,5.885127,6.058081,6.101861,5.30081,5.049675
GPR63,5.24721,5.133808,5.313481,4.869928,4.082113,3.802302
PTPRC,2.047073,2.325211,1.51493,1.459735,1.470701,2.613159
KLHL7,4.727211,4.671219,4.923348,5.22622,3.759695,3.377526
CUL3,2.336531,2.123317,2.295311,2.107138,2.212474,2.730002
GALNT9,5.076071,5.212779,2.950605,3.263881,2.233224,3.037312
CORO1B,8.129913,8.193836,8.110377,8.260806,8.078093,8.150585
TIMM9,7.278021,7.280922,7.345571,7.783483,6.346777,6.458337
FZD2,7.639647,7.856441,8.497928,8.537317,7.778246,7.671597
UAP1L1,3.641437,3.007919,4.332873,4.281358,6.490157,6.647364
ZFAND2B,5.428166,5.368123,5.706383,5.785126,6.710888,6.769905
ITGBL1,2.016572,1.781233,2.193237,2.774548,2.114864,3.109752
ERBB4,2.553023,2.965419,2.446576,2.544935,3.508984,4.379362
OXCT2,4.674582,4.913121,5.337608,5.350448,3.725599,3.398291
CST11,1.893084,2.056728,2.086542,2.479982,2.189156,2.141878
SOX10,4.483914,4.056463,5.428542,5.726378,3.098282,1.604309
VMP,1.341745,1.72527,2.318213,1.51323,2.652602,3.06933
CCL24,1.222009,2.204965,1.498638,2.64751,2.564677,1.604605
WDR63,1.425664,1.360804,1.648592,1.373565,2.149473,2.592843
MLC1,1.826185,2.483377,1.844031,1.954745,7.051925,7.089395
DKFZP761H1710,2.230029,2.579461,1.580765,2.715406,2.313504,3.097257
PDPK1,6.83224,6.247508,6.967852,6.368981,5.896804,5.791641
ADRA1A,1.413182,1.607914,1.880213,1.793073,1.931434,2.288638
LAMC2,5.321957,4.077739,3.481324,4.380641,3.203607,2.63678
FGF13,2.51978,2.554179,2.381841,2.504862,1.785221,4.051171
CHFR,8.87824,8.979764,8.749876,8.641434,8.399986,8.491824
OGFOD1,4.889696,4.880774,4.588002,4.89993,2.542033,1.602373
MGC34830,3.031076,2.183121,1.894434,2.553843,7.140286,7.167775
STS-1,5.10072,5.113198,4.29434,4.038165,9.339119,9.288485
SCMH1,5.93415,6.062275,6.20061,6.392988,7.106386,7.244806
ZNF483,4.324085,3.350467,4.578992,4.629353,1.92053,2.932712
PBEF1,6.166785,6.151297,6.642579,7.047777,4.423026,4.064721
CACNB2,2.568733,2.098679,2.849028,1.824029,5.618121,5.639821
TREX1,6.663463,6.724597,6.565944,6.306019,6.135065,6.179571
USP2,2.53665,3.677123,3.038213,4.264283,2.865734,3.747126
ITGB4,1.891083,2.440234,2.725353,1.745371,3.105598,3.471961
FLJ13984,2.948681,2.745353,2.583095,1.901153,2.104257,2.308902
SMC6L1,5.521427,5.803225,6.92375,6.724181,1.74142,2.346529
AGPAT3,4.224937,3.501042,3.787069,3.683415,5.974776,5.695794
C17ORF28,3.989672,3.605356,3.764749,3.424212,2.428871,2.83168
MRLC2,10.641202,10.465053,10.438847,10.693852,11.630866,11.507161
TPTE2,1.433096,2.113957,1.865184,1.229124,1.510957,1.928655
ZYG11BL,4.577382,5.208236,4.961938,5.107666,5.320032,5.656543
MKNK2,6.820752,6.716306,6.545444,6.33261,6.318735,6.283751
ATOH8,1.549616,2.883947,2.152597,2.081742,6.605652,6.648832
NUDT1,5.972672,5.869477,5.980383,6.553999,5.833077,5.760484
CX3CL1,2.889787,2.41049,3.11912,2.721191,8.494095,8.546748
ITGA3,1.827177,1.916664,1.871785,2.046578,2.71913,1.73426
LRIG2,6.059565,6.333923,6.285345,6.613157,4.999905,5.137954
FLJ39155,5.876158,6.123736,2.288091,2.851424,4.016931,4.016603
PARD6A,5.973738,5.843984,5.987484,5.843397,5.36414,5.171133
BCL2L1,9.594753,9.824684,9.785981,9.520848,8.40069,8.480406
ZDHHC20,4.518029,3.305996,3.347973,3.15375,3.693025,2.025285
COX6C,11.312141,11.351565,11.213115,11.219232,11.893433,11.868451
BTBD11,1.888807,2.281768,1.400264,1.590796,1.816271,2.007204
GCC2,1.625811,1.446261,1.954745,1.374282,1.354508,1.313805
DNAJC5B,1.578166,1.855424,1.571205,1.386542,1.083008,1.271091
CD1C,1.671688,2.079143,1.881503,1.871721,2.773424,2.312874
FLJ33718,2.120878,3.041433,2.16367,4.076354,3.345603,2.566653
MPP2,5.355451,5.524622,5.931134,6.050264,5.429708,5.381516
PCDHGA3,1.955379,1.841861,1.463805,1.806641,2.552323,1.405872
SIRT6,3.023817,4.139235,3.245741,2.917572,4.55304,4.267484
TRPV1,1.984525,3.451563,1.803573,1.880132,1.894959,1.731842
ADCY9,4.850099,5.088601,5.216171,4.651361,6.265888,6.167463
ELK1,8.005365,8.044073,7.718905,7.786713,7.943723,8.008761
PTPN23,5.573845,5.991382,5.421084,5.013159,5.713904,5.848996
HAPLN3,6.261168,6.666934,6.855445,6.669239,4.221238,4.762515
ATP1B3,8.387299,8.440249,8.505249,8.694891,7.404993,7.242361
UBE3A,2.433353,2.802042,1.626224,2.125563,2.065182,3.4323
HEYL,4.819064,4.717604,4.812923,4.84113,1.911057,2.582159
HOXB4,1.734896,3.146327,2.267296,1.822251,1.620896,1.658484
ZNF24,4.574675,4.328643,4.857837,4.691058,5.57304,5.78313
LOC440742,1.745623,2.359039,1.477749,1.80345,1.961346,1.934772
TESK2,6.476825,6.194609,6.341336,6.353258,3.330153,2.562454
ASB13,5.49947,5.534482,5.619989,5.68647,6.235718,6.67914
LOC283551,2.068921,1.272014,1.568566,1.899037,3.073758,1.595587
KIAA0323,6.17235,6.082333,6.758082,6.556608,6.341336,6.361942
RGL1,5.770433,5.76089,4.414201,3.422394,8.668685,8.662866
