Gene,H1hESC_rep1,H1hESC_rep2,H9hESC_rep1,H9hESC_rep2,hNSC_rep1,hNSC_rep2
ASF1A,7.256727,7.17025,7.276189,7.334312,8.630198,8.43959
SCMH1,4.397095,3.767211,4.45843,3.657636,3.48957,3.533511
PHF6,1.264438,1.838465,1.364386,2.116498,2.933553,2.193615
YIPF5,3.672447,4.741891,5.637177,4.856121,4.474146,4.807246
CNIH4,9.726809,9.773484,9.857448,9.97035,8.280038,8.329395
OPRK1,3.410636,2.743748,1.848081,2.694239,1.452731,2.681218
FLJ11806,5.676741,5.814924,5.754502,5.876504,5.286891,5.06335
RPIA,7.167001,7.144002,6.930947,6.932853,6.808722,6.716306
OR6K6,1.678388,1.2246,2.041725,2.756589,2.175176,2.638155
SSX5,1.96113,1.852531,1.628757,1.128375,1.017651,2.053998
ITGB1,9.231473,9.075056,8.811454,9.004728,8.343574,8.390142
OR4D9,1.791435,1.353842,1.946224,1.550188,2.111691,2.054999
ZNF354A,3.615304,4.441395,4.665075,4.090466,3.329341,3.758633
PCDHGC4,1.497414,1.689028,1.236335,1.408504,2.041271,3.104118
TCIRG1,2.209891,1.987789,1.431119,1.988263,1.899192,2.167414
LIMS3,1.928227,1.855646,1.359624,1.672619,2.000093,2.10115
GHRHR,2.409351,1.303333,1.379048,2.018365,2.168729,2.044798
OR2A14,1.93428,1.428251,1.916145,2.215996,1.956886,1.763277
SART3,5.254334,5.47643,5.896804,5.605581,5.106942,5.213203
FLJ14397,1.995371,2.288557,2.252347,1.877804,1.711952,1.707581
ITPKC,4.112694,3.995536,4.103225,3.666193,4.805874,4.529674
ZNF703,1.979835,1.731405,1.396983,2.14596,2.395138,1.857368
PLA2G12A,3.576109,3.53043,3.699734,3.727063,3.058635,3.385331
IQCH,2.149121,2.288091,2.194265,1.618678,2.302442,3.21372
NFKB1,6.865052,6.819561,7.283637,7.193339,8.044672,8.132967
MRGPRD,1.501098,1.539067,2.508458,1.442312,3.659278,2.384512
TRIM54,2.769127,2.149253,1.948221,2.06443,2.106615,2.029621
HOXD8,2.049917,1.312123,1.549293,2.558284,1.624819,1.639354
DBT,8.684813,8.248858,8.552457,8.026422,7.787622,7.575782
ERMAP,4.588475,4.22409,4.84764,4.861551,5.853205,6.033295
LSS,8.280896,8.105545,8.140582,7.938798,9.599745,9.511084
ZNF580,2.414452,3.376387,3.06602,2.592843,2.130563,2.793788
AQP9,1.950097,2.266946,2.331314,2.971331,1.941081,2.015468
KCNA7,2.147158,1.702232,1.541061,2.494216,1.302949,1.378319
C6ORF168,5.31075,5.460458,5.681334,5.981767,5.066482,5.360374
MTMR1,2.716832,2.421494,1.997404,2.241974,1.942226,2.00938
HARSL,7.789343,7.795689,7.603277,7.660313,7.605296,7.527388
HAAO,2.162965,2.428309,2.939165,2.119947,2.177118,2.656503
CCR7,2.159918,2.084713,1.757651,2.546516,1.905884,2.629952
IVNS1ABP,2.804935,3.477021,2.16642,2.623949,2.816853,2.069882
HLA-DRB1,3.854697,4.409409,5.194513,5.71856,2.080137,2.095067
RPS6KA1,6.863968,6.74447,6.408112,6.763475,2.380775,1.681069
MET,2.770755,3.225865,2.953109,2.598936,2.120609,2.000954
SNRPA1,10.69814,10.613273,10.587247,10.643923,9.282857,9.259689
ARRDC2,1.81253,1.465664,1.752058,1.892381,1.912685,2.021169
LHX6,2.950831,2.565719,4.012289,5.216577,1.584701,1.915339
ACE,1.687495,2.56274,1.84717,2.541028,2.297984,1.871785
DNAH7,2.590484,1.882534,2.469189,1.889694,2.751778,3.456843
PTPN7,2.75497,1.974345,2.150087,3.456843,1.785971,2.36155
HDAC9,1.382729,2.776367,1.537837,2.170847,1.486967,1.918097
MAGI2,2.475288,2.217053,1.927005,1.944318,2.125563,1.878816
OR6V1,2.14519,2.182456,2.077763,1.883878,2.184172,2.56543
PICALM,7.880215,7.971984,8.341842,8.226779,8.251911,8.323528
FXYD2,1.89471,1.543548,1.048039,1.308464,1.334932,1.482038
TRIM34,1.622836,1.46419,2.336863,2.058058,1.527569,3.12426
HSD17B8,5.214115,5.610803,5.526747,6.026384,6.358561,6.148519
TTC21A,3.003214,2.609388,2.399271,1.857957,4.263685,4.187854
SCYE1,1.339055,1.970855,1.806156,2.149473,2.62981,2.260339
CAMKK1,2.643545,2.838668,2.54942,1.987104,1.658716,1.869954
INSRR,3.006892,1.892203,2.255543,1.659125,2.017377,1.889694
B3GNT6,6.906574,7.137007,6.814923,6.992579,8.77735,8.778494
GPR111,1.813218,1.541906,1.798974,1.930649,1.32909,1.583426
PRPF3,7.832921,7.931011,8.085227,8.009406,7.744052,7.672338
MAGEA2B,1.785221,1.558612,2.70728,1.428051,2.586049,1.734601
MT1G,10.830914,11.010119,9.109114,9.726809,2.56064,2.355768
NUP188,7.942628,7.960683,7.798996,7.293342,6.975793,6.960395
SELP,1.635329,1.688854,1.446521,2.309785,1.782222,1.947225
KLHL10,1.591999,2.164495,1.580996,2.0799,1.413882,1.715933
CASC5,3.789238,5.013159,4.220605,4.406706,2.800477,3.832246
FREM1,4.178337,3.955601,2.365399,2.477516,4.930988,5.212407
PCDH10,2.242533,2.180036,3.066769,2.042513,7.446288,7.511019
SOSTDC1,3.88121,4.018267,2.548658,2.135216,2.871887,2.465429
ULK2,3.075225,3.771343,3.279368,3.8747,4.552698,2.888682
HTR2A,8.392732,8.3364,8.350521,8.366139,7.34974,7.483936
SS18L1,2.424898,3.484338,1.704038,2.131115,1.647329,3.125199
TTC6,2.788081,2.188856,1.447117,1.425084,1.842898,1.333556
NNMT,5.190868,4.976628,4.986216,4.83701,5.615491,5.423555
ZDHHC21,2.34842,2.647759,2.570384,2.44897,3.620434,2.294851
AKAP12,5.209424,3.526684,4.549865,3.374999,2.129747,2.148304
TRAIP,4.84764,5.343714,4.807246,4.382184,5.250454,5.421751
ACOT1,4.60861,4.595451,5.209424,5.349772,6.611004,6.446659
GABRA3,2.152893,1.370337,3.176817,2.648149,1.371924,1.919749
DBP,4.533675,4.788142,5.86234,5.814924,3.349343,3.70291
CCDC53,6.542504,6.283751,6.733984,7.092974,8.091161,8.183945
ZC3H11A,1.920965,2.094972,2.848227,2.566653,1.725968,2.11565
BOP1,9.299286,9.37663,9.400099,9.335613,8.810946,8.820344
SOCS5,1.904208,2.388702,2.075793,1.497787,1.588295,2.507923
IL23A,2.871603,2.401731,2.835981,3.090288,3.021532,2.010574
CHMP4A,6.86353,7.191385,6.985166,7.46975,7.761649,7.929275
OTOP2,1.282552,1.734431,1.562734,2.006176,1.916756,1.667201
TAOK2,2.896181,2.436596,2.877476,1.932531,3.252217,1.948861
PPIL5,8.509665,8.33771,8.533471,8.477118,8.05177,7.964097
C20ORF94,5.497978,5.050976,5.422352,4.709016,3.823485,3.847013
EIF3S9,10.206029,10.329794,10.536069,10.262656,9.369222,9.280776
VANGL2,8.917761,8.841236,8.733036,8.524407,9.1572,9.120327
C9ORF71,1.715243,1.999854,1.553881,2.0291,1.618162,1.627586
HIPK4,1.988761,2.015417,3.051568,2.303333,2.341359,1.921865
TFAM,8.690216,8.531864,8.632837,8.778494,6.748375,6.634815
URB,1.973424,2.42686,1.762662,1.919373,4.47614,4.081275
SLC39A4,1.93882,1.991495,1.600549,1.825456,2.015948,1.876151
TP53I11,4.864577,5.69783,4.783333,4.429466,4.511794,4.627074
HPCAL1,2.101742,1.391456,2.097826,1.678971,2.747206,2.955749
ITPK1,7.01422,7.043295,7.117165,6.8669,7.53439,7.381002
NEIL2,5.832657,6.022469,6.5739,6.836009,6.758988,6.670153
LAMB3,2.597536,2.447906,2.34447,1.769094,2.413756,2.830385
S100G,1.845947,2.151147,1.637585,1.211918,1.655392,2.003962
MGC71993,8.867964,8.941687,8.821467,9.050329,9.56322,9.432778
DALRD3,4.954549,5.487008,5.197074,5.524035,5.844923,5.715027
SSNA1,7.205511,7.363766,7.435901,7.383763,7.722908,7.692352
CEBPA,6.279074,6.128941,5.632766,5.505183,3.647263,2.859641
LOC147808,5.125444,5.026218,5.113198,5.199368,5.459556,5.710851
SLC22A1,2.179237,2.310604,2.958178,4.111189,3.747126,4.024508
FLNC,8.268793,8.097345,7.032628,6.750288,5.683479,5.864581
LGALS9,1.592769,1.815151,1.635126,1.838862,1.975621,1.96278
MMRN2,2.607939,2.287906,2.013981,2.832622,2.082957,2.149473
DOCK1,6.702003,6.523761,6.635855,6.957723,8.281481,8.145829
PITPNA,4.743043,5.074881,4.782652,5.53884,6.545444,6.40517
LMAN1,4.762515,4.78082,5.618121,5.792992,2.903923,2.006383
CYFIP1,2.05703,2.40539,2.926086,2.925802,3.592116,3.320276
FBXO16,2.799431,3.521313,3.079143,3.720325,4.223556,4.497701
PIK3R4,6.219753,5.761277,6.019166,5.801465,5.604127,5.319487
SLC26A7,2.323211,2.270543,1.404858,1.595587,2.308604,1.894588
CRYBB1,3.075587,2.698313,2.75716,2.435768,2.085998,1.929104
PTPN22,1.868612,2.186208,1.656241,1.289604,1.637093,1.541435
CNOT7,8.423277,8.653085,8.568703,9.053265,7.951285,8.084642
PMVK,5.616673,5.986561,6.06172,6.291509,6.959956,7.145853
FBXL17,2.148819,3.58299,3.147488,2.285963,5.53106,5.361286
DUX4C,1.705431,1.793266,2.239881,2.300754,2.697187,3.013588
C20ORF172,6.87851,6.704132,6.24879,6.373004,6.486076,6.554621
HCAP-H2,6.226121,6.371823,5.913113,5.611749,6.384379,6.315261
TAS2R60,1.517441,1.283592,1.730943,1.614645,2.029988,2.766176
C20ORF102,3.297456,3.218408,2.714695,2.970203,5.27984,5.486314
LOC653762,2.654071,2.322919,2.116391,1.539214,1.592314,2.587889
FBXO7,3.100548,3.691732,2.857856,3.744957,4.056463,3.111634
MLL4,6.651608,7.036331,6.327689,6.111901,6.77366,6.808199
SLC25A37,7.032628,7.146529,6.482672,6.137517,6.613728,6.444499
SLC22A2,2.143049,1.739793,1.496347,1.740837,1.748658,1.732924
GRM6,1.811953,1.668918,2.00938,1.614984,1.785432,1.577705
GREB1,2.873963,2.238119,3.466876,2.038189,2.615318,1.727542
SDPR,2.528324,2.588335,3.313719,3.14474,3.714546,3.871004
HGS,9.122434,9.097835,9.062441,8.917761,9.419702,9.543122
NSUN4,6.02138,6.462863,6.522123,6.572376,6.699214,6.784204
RHBDL3,7.998172,8.23952,8.194494,8.180377,6.7988,6.903309
ARMCX6,7.115784,6.797789,6.457999,6.810759,7.320378,7.07394
ALF,2.770512,1.84717,2.583292,2.184762,1.683366,2.861077
AK2,8.67884,8.741741,8.736449,8.89484,8.776161,8.711821
BC002942,7.373616,7.547005,6.781462,6.55104,7.946838,7.997629
CAPN2,3.628119,3.588434,3.90227,4.001508,4.74149,4.772832
OR5H14,1.509335,1.825666,1.30142,2.232001,1.944617,1.819554
MYL4,1.778536,1.643491,1.444408,2.489668,1.587915,1.864271
ARGFX,1.201613,1.750792,1.669339,1.856917,1.62731,1.653376
SOX1,1.849921,3.108573,1.445845,1.647207,4.247609,3.874282
PAQR3,7.45673,7.381002,7.385099,7.411215,6.624338,6.518655
ANKRD25,5.905616,5.755937,4.26772,4.276728,5.411538,5.541529
KRT10,8.037952,8.055119,8.082964,8.111073,9.121541,8.942323
NALP12,4.273237,4.411802,5.492977,4.854175,1.371682,1.950227
PCDHA1,2.019758,1.596447,1.924982,1.806824,1.610232,3.042077
KRT6IRS,1.750714,2.928869,1.976884,2.004594,2.794664,1.916756
C5ORF4,1.825319,2.581931,2.113273,2.165817,2.719652,2.133965
UBAP2,7.160259,6.778327,6.975096,6.16366,5.712546,6.167153
HIST1H2BG,4.413626,4.066653,3.66981,3.623922,4.197676,3.573293
RPS6KA2,2.596273,1.519886,2.148955,2.730985,2.140725,1.859208
STARD4,2.005731,1.978908,2.187302,1.720271,2.138344,2.001202
ATM,1.296323,1.938223,2.115917,2.181964,1.776938,1.73647
FRZB,8.178425,8.494095,6.863045,7.061251,3.261587,3.489739
LOC387758,1.651264,3.059996,2.456345,1.415075,5.809405,5.970218
OR1K1,1.160405,2.662687,2.404073,2.312351,1.708879,2.153005
PROK1,1.419019,2.475585,2.04224,1.893221,1.574141,1.638422
ANKRD1,4.519798,4.659465,1.972942,2.008737,2.827597,2.032834
PGM2L1,7.595591,6.973308,7.756367,7.61334,4.753269,4.175543
KBTBD8,6.857108,6.875031,6.504821,6.365764,5.121458,5.065796
LYNX1,2.175749,1.479116,1.80345,2.382378,1.512509,1.863567
MGC39681,1.95777,2.201903,1.748964,2.169223,2.540287,2.258473
CDH7,3.687535,3.876186,3.928346,3.861349,2.215996,3.461204
P2RXL1,2.053414,2.170847,2.362164,1.579752,1.641192,2.521504
CKAP5,6.31958,6.289071,6.729084,6.603626,6.24879,6.34229
FLJ20097,4.14706,4.421164,3.679874,3.532495,4.893261,5.021179
CAPN3,1.673837,2.394482,2.394245,1.570897,2.410293,2.374456
SLC19A3,4.717188,5.011432,4.283326,4.12677,3.016569,2.404073
SULT1A1,1.998963,2.398352,2.472053,1.738698,2.820115,2.457619
TNS4,1.89812,1.738634,2.901381,1.719897,2.788638,2.035866
HMGCLL1,1.506424,1.828827,1.677448,1.793846,1.669823,1.763808
ARL6IP2,7.276776,7.618078,7.591858,7.634455,5.17839,5.513505
LAYN,5.999465,6.22546,5.390445,5.647713,2.653667,2.116816
FOXM1,6.417464,6.493844,6.519834,6.673985,7.032628,7.023605
ADRA1D,1.90742,2.214886,2.069067,1.541648,2.309469,2.317714
PKP1,1.908995,2.223331,2.352596,1.791506,1.671688,1.683754
ATF7IP,2.818304,2.999389,3.615559,3.588434,2.403459,2.532855
BCL10,5.75125,5.602126,5.730092,5.93415,4.732224,4.29434
OR10A3,1.666022,2.046195,1.545881,2.176384,2.438785,1.497643
LGI4,1.536782,2.502998,2.409809,3.901753,4.045074,4.077345
RBP7,5.72898,5.313481,5.657147,5.608732,4.644419,4.55763
LOC152195,5.032071,4.657904,5.480531,5.597539,1.903627,2.351951
NANOS1,1.29031,2.745053,1.653376,2.947152,1.838784,1.934447
LCE1F,2.489863,2.284689,1.840392,2.649675,2.664715,2.43919
ACD,7.218402,7.385099,7.588618,7.396255,6.421473,6.476825
PACS1,5.34461,5.803825,5.668593,5.041754,6.941506,6.881025
EPB41L1,2.990917,2.732976,2.991313,4.042231,4.124226,4.482062
MGC70870,1.885397,1.283164,1.740401,2.865954,1.767432,1.123467
C1ORF84,2.406452,1.872297,2.24701,1.74204,1.911636,2.151792
RAB7,8.981728,9.046617,9.232656,9.47681,10.540365,10.69814
NAGK,8.263529,8.204925,7.913892,7.791505,8.288501,8.25878
ENAH,6.131396,6.238683,6.096983,6.094759,7.733065,7.586894
KIF23,4.639217,5.041754,5.519445,6.03594,3.546132,2.64662
PRKCB1,3.477338,3.916579,3.581307,3.686875,2.672342,1.780188
NME7,7.535162,7.290151,7.177778,7.071375,7.346035,7.467355
SPRR1A,1.849054,2.500212,2.0799,2.508239,3.715848,1.789851
ABCG5,3.704301,3.54465,2.669072,3.506736,4.107412,4.185901
NSMAF,7.143173,7.069635,7.420326,7.441504,6.436668,6.662726
NGFB,3.363437,4.288903,3.839573,3.286644,3.979174,3.493887
MARVELD3,6.114369,6.322439,5.15125,5.631896,3.60886,3.971017
RUNX2,1.960447,2.330885,1.435197,1.104062,1.792886,3.176469
ZNF543,5.415106,4.793768,4.920306,4.967601,4.816475,4.84887
VWA2,2.415382,2.406452,2.626736,1.678101,1.38997,1.751091
NPC2,11.730849,11.705387,11.36532,11.524139,10.729413,10.677794
FAIM,2.68306,3.004764,2.560852,2.496928,3.27087,3.977713
GRM7,2.218775,1.323055,2.524274,1.858614,2.083457,1.783308
C21ORF88,2.516559,2.805176,3.464127,3.560699,2.008987,2.865067
TPM1,11.000962,10.987883,10.830914,10.92949,7.718582,7.684959
NOD27,2.017377,1.16194,1.920738,1.71096,3.402434,3.705735
C6ORF64,4.947265,5.132162,4.994333,4.96579,5.204513,5.417596
FAM44B,9.340121,9.465567,9.634103,9.703856,8.399532,8.301196
MYOM2,4.293647,3.681959,2.355768,3.053249,5.161581,5.009135
CD80,1.85827,1.44787,2.597536,2.158531,1.910846,2.207462
PRKAG3,1.772241,1.381075,2.875375,2.535643,1.974966,1.945236
PCDH1,3.211235,4.21076,3.464486,3.458015,3.229795,2.728155
CEBPG,8.011796,7.97469,8.372713,8.204925,7.198469,7.265576
APBB2,4.645745,4.837576,5.172121,4.920884,5.652646,5.56295
LOC138046,2.048134,1.914609,2.465429,1.699566,4.87684,4.930988
CEACAM1,3.100771,2.907359,1.87025,2.022259,1.791044,1.968728
TMEM87A,9.403546,9.422536,9.214187,9.093622,10.001668,9.97035
GORASP1,6.678609,6.688533,7.087398,6.788416,7.929898,7.960304
LOC197322,2.535779,2.553259,2.515392,3.006892,6.799275,6.925141
C21ORF56,6.815261,6.945503,7.208797,7.243863,6.380366,6.536313
ELOVL2,2.376223,2.401592,2.375651,3.592116,8.900836,8.962091
PPM1B,9.221503,9.19396,9.30325,9.333299,7.775043,7.839196
DNAH9,2.154738,1.963775,1.881385,1.559582,1.820782,2.55072
GPM6A,5.022931,4.551418,4.483408,4.661858,8.510465,8.347747
CTNND2,5.04761,4.623958,5.652646,5.573845,7.893999,7.921867
RPA3,10.185991,10.1424,10.009798,10.137395,8.856698,8.784431
FLJ20254,5.445905,6.046891,5.764216,5.45171,5.571682,5.521427
TRAPPC1,7.458515,7.344149,7.710695,8.003999,8.107215,8.025312
DHX16,7.883081,8.069719,8.055119,8.005745,8.123163,8.255974
FSIP1,3.129744,2.980922,2.60977,2.640844,4.237124,3.707407
FBXO10,2.675719,2.563861,2.848051,3.003506,3.0562,3.105598
C1QL1,4.209573,3.717491,5.388455,5.211895,6.298125,6.478753
RBMY1B,2.245271,1.310062,2.097726,1.176173,1.502078,1.713657
KNDC1,3.733538,2.879812,3.789238,3.206389,1.416465,1.671522
RNASE8,1.454668,1.996188,2.646262,1.445011,2.096201,1.871721
POLM,5.482185,5.884824,5.823406,5.542231,5.131194,5.206751
GSTM4,3.586062,3.318687,3.752078,4.175543,5.174352,4.967601
LILRA2,1.496193,1.357287,1.729101,1.894548,2.082528,1.675199
OPN3,6.2788,6.077921,6.762539,6.885933,5.378224,5.407332
ZSCAN1,2.022641,1.824052,1.658861,1.640734,2.206367,2.584581
LOC51057,4.844585,4.907528,4.637614,5.607495,3.992392,3.532495
NBN,2.098383,2.06936,3.304298,2.071495,2.021042,1.721753
FLJ33590,1.944161,2.680068,2.595823,2.376813,4.340815,4.337044
MOBKL2B,6.513941,6.170863,6.681836,6.282298,6.742036,6.777347
ZNF561,4.837576,4.835901,5.012213,4.575753,4.374248,4.126272
STARD10,6.848915,6.846933,6.983313,6.995459,4.266486,4.935914
TXNRD1,8.301196,8.227371,8.406286,8.406286,9.054588,9.10841
FBXO9,4.950682,4.259473,3.938172,3.636503,2.43372,3.937636
WDR65,2.145321,1.102213,2.026119,1.74912,3.579081,1.295473
DNAJC16,3.976602,4.800703,3.774746,3.704564,3.241893,3.463684
DSCR3,7.37026,7.543025,7.709686,7.879793,7.985563,7.977214
MINK1,1.89375,2.401397,1.964511,2.51695,3.505983,2.653098
OR10A6,2.087384,1.336604,2.962375,1.868943,2.033932,1.536369
LST1,1.449306,2.311159,1.632116,1.733954,1.509724,1.673502
F13A1,1.799984,1.735066,2.241482,1.748824,1.908092,2.295089
IGBP1,7.52444,7.517668,7.570202,7.938193,7.285889,7.385551
PCDHGA4,1.931434,1.758873,1.14695,1.505412,2.288557,3.065557
MTMR6,5.286891,5.500322,5.330744,5.481097,6.202838,6.335324
FLJ14346,2.480975,3.051236,3.417575,2.318892,2.763281,3.659278
MBD2,7.429036,7.676994,7.747638,7.818903,4.859723,4.105694
CD3G,1.651155,1.864665,1.561455,1.529501,2.003524,1.4354
OLIG3,3.316216,3.074585,4.346867,3.840923,2.308742,2.269291
MMP25,6.630957,6.717502,6.510191,6.833536,2.611784,3.04937
MGC12966,7.806064,7.817855,8.225565,8.363987,7.355785,7.387765
C9ORF21,4.385945,4.668226,4.195818,4.882496,5.138478,5.056762
CAST,5.446912,5.367436,5.753311,5.909339,5.748871,5.696693
C9ORF66,3.355967,3.035995,4.184669,3.46516,3.616463,3.74931
FBXL21,3.329819,2.496116,3.312583,1.777894,1.838281,2.515198
HLA-DRB3,2.587227,2.412446,2.160593,2.449426,1.993538,1.032272
PROCR,5.499943,6.125287,5.785126,5.713437,2.598086,2.550241
FLJ37078,3.886214,4.766209,4.898741,4.72175,1.733204,3.006076
RLN3,1.682023,1.894253,1.427551,1.747973,2.420479,1.687149
PTPN3,3.214069,2.791896,3.791246,4.27764,3.740188,3.90227
C6ORF122,2.541325,2.284436,1.968548,2.679853,1.460045,1.875023
NFKBIE,5.239505,5.085475,4.780368,5.165487,5.71898,5.747249
SLC29A3,6.348375,6.368981,6.13711,6.15427,2.37952,3.344353
KCNJ14,1.959997,2.923956,2.038189,2.27842,1.47303,1.611545
VAV1,2.01256,2.140612,2.493861,3.156461,1.547071,1.634453
07-Mar,9.571899,9.613718,9.782672,9.888633,9.273905,9.287408
PDCD8,5.549837,5.270212,6.043413,6.33196,4.544823,4.510431
MDFIC,2.94672,3.109752,3.657636,3.244933,2.798959,3.758095
LOC348645,2.078828,1.642566,1.521197,1.710667,1.360178,1.422465
HOXD1,1.531346,1.705323,1.332399,1.569271,1.536523,1.24033
PTCHD1,5.012685,5.171685,5.471489,5.449976,2.081664,3.404084
C9ORF100,5.111884,4.868687,5.704824,5.68044,2.981984,3.759695
DFNB31,2.683247,2.960637,2.243769,3.751258,3.981831,4.046639
PH-4,3.038516,3.265807,2.737696,1.761255,2.331481,3.694149
C7ORF9,1.512101,1.601626,1.596877,2.235675,2.832317,1.756869
AGL,1.532102,1.755464,1.709073,1.707705,3.549546,1.530363
PSD3,5.882099,5.801774,6.34754,6.03913,8.327245,8.277192
RPL6,9.502466,9.316975,9.064805,9.334271,7.218402,7.365621
GHSR,1.692266,2.054303,2.776512,2.066788,1.798532,1.988761
JPH2,1.897021,1.513036,1.574141,2.263314,1.676511,1.308069
CNTNAP3,3.557122,3.498319,3.926841,3.186062,4.188943,4.156449
LECT2,1.735877,2.104976,1.235581,1.863127,1.652415,1.485083
LOC497190,2.2063,2.80162,1.407187,2.133096,3.010197,3.558951
PGA5,2.106459,2.912418,2.991656,1.875686,1.393527,1.293301
C17ORF64,2.971893,2.190658,2.145321,3.579715,3.084201,3.616808
ESRRG,1.265136,1.729101,1.252082,1.105646,1.27028,1.842533
DKFZP761E198,2.569341,2.713131,3.126014,2.912065,1.928106,2.509968
CNTN3,1.651822,1.739411,1.789397,1.691418,1.653641,3.107913
RGMA,9.043323,9.166686,9.409184,9.318312,11.065845,11.05655
SNF1LK,2.576057,3.398791,3.297729,3.766704,4.78873,5.362782
PEPD,9.26705,9.455231,9.241586,9.279898,9.806582,9.705505
IGFL4,1.992413,1.622252,1.526931,1.383916,1.612257,2.406452
KCNK17,4.83421,5.66479,4.692037,4.845154,4.108538,1.875489
PLK2,3.480745,1.647724,3.02255,2.224749,2.46698,2.491332
C10ORF89,5.107971,5.532762,6.007481,6.328323,4.992787,5.144746
SLC26A5,1.381075,1.591582,1.990372,3.256279,2.233388,1.735223
CDKN2A,2.615063,2.433009,1.559258,1.9866,3.10519,3.028233
PDZK3,2.537683,2.364743,2.559979,2.618563,1.557387,3.315576
FLJ43752,2.125984,2.454092,2.351239,1.968548,2.334282,2.808599
FKBP7,2.217175,2.16796,1.906359,2.372886,2.734078,1.688697
TIAL1,6.858585,6.84138,6.792834,6.727515,6.485715,6.261854
CALML4,2.385573,2.154648,1.996361,1.84631,1.48081,2.883368
PLEC1,1.588683,2.530061,1.537345,1.904208,2.119446,1.465032
VPS11,3.936638,4.467515,3.855077,4.265622,5.022289,5.015877
ACTBL1,2.077112,1.490075,1.850973,1.415806,1.795949,2.179891
C19ORF33,5.691344,6.068503,3.541857,3.070125,1.806256,1.79705
PRKCE,1.468036,2.043557,1.514643,2.047557,3.964201,4.345343
CDK5R2,2.195899,2.180816,1.878516,2.05538,2.029495,2.723979
RNF24,6.259012,6.378649,6.295276,6.156378,7.08445,7.048097
MGC11102,2.742314,2.792966,2.004103,2.649043,1.722891,2.467381
USH1G,3.687908,3.591561,3.64219,3.325407,2.616592,2.658498
C6ORF75,2.669072,2.198678,1.444837,2.609388,1.43251,1.219008
PFDN1,8.630861,8.453561,8.360715,8.557832,9.289479,9.350036
CCT8,11.283199,11.236634,11.65171,11.715691,10.013274,9.998631
IVNS1ABP,8.262005,8.163744,8.341029,8.236049,7.17025,7.092224
PKHD1L1,2.56021,3.27087,2.081536,2.404594,3.008271,1.96492
C10ORF132,2.146642,1.727655,2.907359,2.41726,1.499439,1.515805
KHK,2.168729,2.515198,2.772841,3.012844,2.913775,3.471392
ACTL7A,1.973554,1.276585,1.977933,1.697985,1.755464,1.981924
ERBB2,2.292605,3.13061,3.074966,3.287099,2.415382,2.151242
SORBS3,2.318892,2.94442,2.852072,2.502415,1.852531,2.465747
TRIM54,2.579061,2.062045,2.716452,3.300423,3.360889,2.978357
OPRS1,4.785077,4.678008,5.123697,5.076911,5.880413,5.848172
SYT11,7.92598,7.895835,5.199948,4.97821,11.790431,11.646776
SPTA1,2.590982,2.440074,3.184168,2.296745,2.687708,2.354544
DGKE,2.344133,1.861505,2.338226,2.493636,1.410929,1.783728
PCDHGA1,1.7531,2.403904,2.168729,1.372796,1.801137,1.919045
TMEM1,2.613805,4.153026,2.684697,1.603021,2.813298,3.032087
CYHR1,3.358654,4.551824,4.592459,4.481034,4.81827,4.965418
BCL2L14,2.067828,2.384755,2.011396,2.351239,2.368824,2.419393
BZW1,3.089018,3.661084,3.329341,3.356306,4.42712,4.321535
CALD1,4.77569,3.638769,3.723415,2.414899,1.925422,1.976256
CPSF3L,6.87882,7.019498,6.770866,6.243545,6.576517,6.649186
PFN3,2.01306,2.073734,2.416364,2.035577,2.986577,3.947199
APEH,9.714103,9.662386,9.794054,9.757448,9.159052,9.109114
ELAC2,7.702548,7.889388,7.508479,7.128934,6.781462,6.635855
ARNT2,6.179998,6.14961,5.858031,5.377423,9.350036,9.246981
LIPA,7.748597,7.637254,7.101948,7.085132,8.065443,8.108084
MIS12,7.285889,7.362205,7.340855,7.219956,7.410735,7.462025
CASP9,6.933647,6.922608,7.651058,7.675081,6.430814,6.306406
HOXB1,4.078595,3.713074,3.961995,3.712041,4.396619,3.936638
ALG1,6.527526,6.279304,5.906125,5.72007,5.468315,5.495805
MAP2K5,6.149277,5.994015,6.464961,6.254932,6.991059,6.971444
ECHS1,9.223598,9.262984,9.420289,9.305121,8.832179,8.844487
TRIM42,1.930001,1.868789,1.815364,2.13878,2.196049,2.16765
LOC91614,2.921566,3.374999,3.380797,3.691732,3.843927,4.108048
CRSP7,4.845154,5.12906,5.22354,5.016278,5.588614,5.59346
FSIP2,2.267076,1.948221,3.532495,2.04322,1.835202,1.227878
PCLKC,3.05701,2.217663,2.092666,2.468879,2.809583,2.449207
THRA,3.584217,2.818971,3.810495,4.776304,5.449039,5.540697
MLCK,1.802406,1.613715,1.84631,1.732429,2.461039,1.998026
KRTAP4-7,1.530363,1.716994,1.256702,1.727542,1.843717,2.717076
KIAA0100,3.360889,3.454109,4.631615,3.929067,3.723415,3.353512
SETDB1,7.187858,7.134698,7.427452,7.37026,7.145853,7.147003
OR13H1,1.68648,2.05538,1.542991,1.661065,1.918695,1.484019
CFHR5,3.159541,2.076602,2.703878,2.150232,2.86695,2.313839
TAS2R3,1.926612,1.517258,2.518767,2.63888,2.34909,2.083781
ATG5,5.447792,5.372898,5.909339,6.306406,5.031272,5.21817
DGKI,2.547093,2.424479,2.943745,1.83714,3.634627,4.279639
GJB4,2.0378,1.749653,2.184762,1.511287,2.392097,2.849028
